Season,Episode,Character,Line
2,15,Sharon,oh what a good baby what a good son i have
2,12,Sharon,oh im sorry i guess im wrong again
15,7,Sharon,what does our son turning 10 have to do with you making the same mistakes again and again
9,2,Sharon,oh my god our son is with those people
18,8,Randy,oh nothing sharon just going to the bathroom if you dont mind  hey
3,10,Mr. Garrison,aggghhh
2,11,Mr. Mackey,mkay
2,6,Stan,wait a second i dont take drugs that was a lie
5,2,Randy,stanley you call your friend an asshole this instant
4,8,Kenny,plenty this is cause my familys poor
13,9,Butters,all these bitches are kissin fellers and they havent figured out that they can be making some serious fuckin money
14,14,Randy,behind you
5,8,Sharon,go
15,11,Sharon,thats ridiculous musicals dont make me wanna give blowjobs
2,12,Sharon,oh randy i do love you but now im so confuseduh im living with roy and i dont know how to break it off with him
1,7,Chef,oh sorry  but my point is that topical cream aint gonna fix whats wrong here
6,3,Cartman,my my mom
12,3,Kenny,what no what are you doing  you fuckers
1,1,Cartman,what the hell are they talking about
16,4,Cartman,no the breads all flat no  aaaaahhhh
11,12,Butters,huwhoa
2,6,Stan,holy crap dude
8,4,Sharon,its on
14,14,Sharon,ill remember that now thanks to you
15,2,Cartman,jimmy hey jimmy  dude what the hell did you see the news
1,9,Stan,whawhat is this about christmas poo dude
2,14,Chef,but i have 24 hours to come up with your money thats the law
5,11,Kyle,now what
15,3,Mr. Mackey,what why dont worry i will be better these kids just arent listenin to me
11,12,Butters,gaa haa
3,6,Mr. Garrison,uh craig how about you
14,8,Butters,eric uh you were as poor and stupid as you could be
1,11,Chef,thats okay you know what they say about women with one arm longer than the other
6,12,Randy,well our son just said to us that he really needed to see his little friend kenny again and and that he thought it would work  if he built the ladder to heaven
7,3,Cartman,what are you talking about this is a gift from god an early easter present all wrapped up in a pretty ribbon from jesus christ himself
2,17,Cartman,i love you guys
2,14,Chef,you will
2,11,Mr. Mackey,uh oh
4,4,Chef,thats right youve made them so dull and boring that theyre actually going to go to a phil collins concert
11,9,Randy,doesnt matter hes got the record now theres nothing i can do
6,14,Mr. Garrison,im aware of that
3,5,Mr. Mackey,jakovasaurs kinda piss me off mkay
4,12,Stan,dude it looks like hes been all over time he must have such cool stuff to tell us
5,13,Butters,yeah he ah knew youd say that too so he said tsay uh up your ass jew  yeah
5,9,Kenny,oh shit were locked in
15,7,Stan,they both look like turds about to be reheated to me
18,6,Kenny,jimmy
7,5,Cartman,ms lopez wont go to sleep
18,10,Butters,well gay is wholesome
10,4,Cartman,ill certainly do my best  ow
2,10,Stan,well ive got the remote bitch hahaha
10,6,Mr. Mackey,no the last one
6,3,Butters,better prizes
10,2,Stan,come on people come on people now
6,14,Mr. Garrison,oh right right right i huh how much money exactly
14,2,Kenny,no no scrotie mcboogerballs
6,4,Sharon,stole aaare you sure
6,14,Randy,ah heres a good one  its the stereotypical sleepy mexican
12,6,Sharon,now shelly
16,12,Sharon,all right randy where are the car keys  randy where are the keys to the car  god damn it
8,2,Mr. Mackey,well timmy as your counselor i want you to know that you can tell me anything mkay and whatevers troublin you i wanna try and and help you with it
18,9,Kyle,youre watching someone play call of duty and talk about it
2,10,Randy,yeah isnt that great stanley
18,9,Kyle,youre watching someone play call of duty and talk about it
7,6,Kyle,do you kow where your doll is
3,17,Mr. Garrison,saturday last last saturday hes a paraplegic but it didnt—
14,10,Randy,aw come on thats stupid hows that hows that even possible
17,3,Mr. Mackey,mkay you sure because im here when you need me
16,2,Randy,well dad it was really great seeing you wed love to stay for dinner but the food here gives sharon diarrhea
10,4,Cartman,stop it
8,11,Butters,i know we should read the funnies  i always get good ideas from the funnies
9,8,Randy,stan
3,2,Kyle,hey that went really well they really liked it
14,5,Mr. Garrison,eric i havent used mr hat in a long time and
15,9,Butters,sing your song earn your pay
13,3,Randy,but thats impossible why would he do this
9,5,Butters,son of a biscuit
6,6,Kyle,but right now id say if were gonna have a retard for a friend i i have to pick timmy because timmy doesnt tell any jokes
18,6,Kenny,yeah
10,1,Kenny,yeah i think
14,10,Sharon,why
10,7,Mr. Mackey,we have tried at this school to make eric understand that there are boundaries mkay but frankly we believe his behavioral problems start at home
1,7,Chef,aaaaaaaaaah
1,5,Cartman,well looks like nobodys home  guess we should come back some other time
14,2,Kenny,no no scrotie mcboogerballs
2,4,Mr. Mackey,oh good point  no i dont feel any doooohh  oh baby get down mkay
2,2,Chef,doctor
13,1,Kyle,you want tammy to give you a bj
2,14,Mr. Garrison,what do you mean
3,17,Kenny,nope
16,5,Stan,well then write the principal an anonymous letter
2,15,Kenny,uh huh
2,13,Kenny,what these
7,14,Butters,go ahead and have a seat guys ah ive gotta go and find lexus
6,1,Cartman,now i think the four million should be split evenly among the three of us except that i should get a twenty percent per negation fee off the gross for having come up with the idea
7,8,Chef,aw nah dont tell me you children have taken up this whole metrosexual fad too
1,5,Mr. Garrison,ohh uh gee isnt that an amazing coincidence  hmm what are the odds of that
11,3,Kenny,not guilty
8,8,Butters,uh hey wait a minute
3,17,Mr. Mackey,well dont you want to see them
3,11,Kyle,wait i thought you called your planet marklar
2,15,Sharon,oh uhofficer barbrady woowhat what a surprise wwhat can i do for you
2,12,Stan,it doesnt matter dude it only has to last long enough to play truth or dare im gonna go get the girls
14,4,Stan,aw dad i just really dont wanna pay attention to this thing
12,12,Butters,we lost
13,1,Kenny,yep i like the food
7,6,Stan,hello maam were detectives with the south park crime unit do you have any crimes you need to be solved for a dollar
13,8,Cartman,was i alarmed  yes  i believe i was
3,17,Cartman,sweet i cant wait to see them crap their pants in front of everybody you guys
12,6,Sharon,now shelly
11,1,Randy,uh well uh
9,14,Randy,what
14,10,Stan,mr mackey you have to wake up i dont belong here i need to have my own regression therapy
15,10,Mr. Mackey,uh hi jan its counselor mackey uh how long would it take to organize a pizza friday for the students yeah yeah no they uh they actually did really well on the state exam yeah mkay
7,8,Sharon,oh hi gerald sheila
7,11,Kenny,yeah
2,12,Stan,well i dont like being around my sister anymore does that mean i can leave her too
6,16,Butters,huh naw im professor chaos stan
2,8,Stan,how many days left in summer
7,15,Kenny,gah
17,5,Kyle,excuse me but ike has homework hes supposed to be doing
2,8,Mr. Garrison,you go to hell you go to hell and you die im gonna find out who you are
16,4,Cartman,well check everywhere im not paying you guys each twenty bucks to scratch your buttholes
2,15,Sharon,stanley look whos here aunt flo
5,8,Cartman,no it isnt
1,2,Chef,how bout you and me
12,8,Butters,well its not where i aimed honest
3,10,Cartman,cool this game rules
4,7,Sharon,sheila have you tried holistic natural medicines they work wonders i read all about in people
7,14,Butters,whoa
5,12,Stan,sure dude youre our friend
9,13,Cartman,why
7,7,Stan,we just gotta figure out a way to raise three hundred thousand dollars
7,11,Kyle,sorry my minds made up
3,12,Kyle,damnit cartman thats not funny
12,8,Butters,yeah
2,3,Kenny,hi cartman
3,5,Stan,dude do we really want another one of these things hanging around
6,4,Cartman,oh mike breakin my balls mike
2,4,Mr. Mackey,mkay
2,9,Stan,well um it does sound like a pretty sweet movie
5,11,Kyle,it seems like i might get splinters though
4,13,Cartman,and now it can use wellington bear calculator too
15,10,Mr. Mackey,alright eric well well get back to class we dont want anyone seeing you in here with us
8,7,Sharon,im sure a lot of people do hon its pretty exciting isnt it now you just get some sleep  youve had a busy day  goodnight sweetie
6,4,Stan,kiss my ass
3,9,Kenny,oh no
7,6,Stan,hello maam were detectives with the south park crime unit do you have any crimes you need to be solved for a dollar
14,4,Stan,my profile goddamnit my facebook profile has taken on a life of its own where is it
1,5,Mr. Garrison,stanley what the hell has gotten in to you  you have got severe lunchroom duty mister
5,9,Kenny,no fuckin way dude
1,2,Chef,kathie lee youre my sexual fantasy
2,11,Kenny,okay got to have some huggin
17,8,Butters,no black friday is about to happen and my friends and i have to be the first ones inside the mall to get xboxes
12,8,Butters,but eric wuwhy would the chinese tell us their invasion plans
15,4,Randy,aw suck it all oya
7,8,Chef,no it isnt last year you children were all trying to be black and now youre trying to be gay
14,4,Cartman,okay lets lets try this one
2,12,Sharon,stanley your father is coming over for visitation stan  meet me in the clubhouse
13,10,Cartman,i did im the rad russian  i come from russian to crush your puny capitalist heads
1,8,Chef,gather around everybody and listen good go to your homes and arm your  what the hell are you supposed to be anyway
3,16,Chef,look stan do you really know what a period is
8,8,Sharon,stanley do you know how many people died so you could have the right to vote
10,2,Cartman,why do you want kyle back dont you see how awesome it is without him
1,1,Chef,wait where are you going alien visitors come back
10,8,Cartman,all right kenny drink your elixir of the mongoose im now going to use mocking blow
2,5,Kyle,you bastards
7,8,Mr. Garrison,chef what did you do when white people stole your culture
6,14,Mr. Garrison,im aware of that
14,10,Sharon,uh okay fine so youre gonna take my son to a dream within a dream and then what
2,5,Kenny,sheesh
9,8,Sharon,i know but im afraid its too late for them sweetie we have to try and save ourselves now
2,7,Stan,dude she always tries to quiet us down by threatening to kill that bunny but i wonder if she ever would
3,11,Mr. Garrison,i hope you give them the chair  anyway children as i was saying hare krishnas are totally gay
4,15,Mr. Mackey,now eric all these people came here and paid to send you to camp because they care about you
15,3,Stan,my sister is a den leader in girl scouts
13,1,Kenny,it means im gonna be pure and not have sex until i get married
16,10,Stan,whats this
5,10,Mr. Mackey,oh i see well well what did you used to think was funny
3,11,Kenny,to pay for the pockets on his peehole
15,14,Cartman,oh god im so nervous these kids all seem kind of mean
9,14,Randy,you heard what he said  the higher power didnt cure me im powerless again
5,7,Chef,the first thing that kids learn about sex shouldnt be some bitchscare tactic about stds
7,7,Mr. Garrison,well this is it mr slave were officially homeless
4,9,Stan,come on nobodys gonna notice
7,1,Kenny,yes it is
5,7,Butters,i dont even understand how this thing ooh wait oh i see
1,1,Chef,its uh some kind of symbiotic metamorphosis device  this could mean the visitors want to communicate with us
1,6,Chef,i dont want to touch that with a forty foot pole
8,1,Kenny,yeah thatd be awesome
2,18,Stan,no hes not gonna melt away thats frosty you stupid butthole
1,13,Mr. Garrison,no
1,10,Cartman,cartmans birthday
1,2,Chef,damn woman i just gave you sweet loving five minutes ago you trying to kill me
1,9,Mr. Mackey,to try and stay positive stay away from drug and alcohol and in the meantime im gonna put you on a heavy regimen of prozac  uuuuuuugghhoh my god you sick little monkey
6,16,Butters,wha what are you lookin for huh stan
6,13,Sharon,oh my god this is gonna be so embarrassing hi chris hi linda we were just wondering if we could get our porno back
4,13,Mr. Garrison,you yuh you what
6,1,Cartman,now i think the four million should be split evenly among the three of us except that i should get a twenty percent per negation fee off the gross for having come up with the idea
18,7,Cartman,yeah they havent worked out the audio yet but i  hes so fucking stupid  but im sure they will soon
8,2,Mr. Mackey,mmmmmkaaay i dont quite follow timmy
8,12,Butters,oh hamburgers
12,13,Mr. Garrison,all right kids in seats kids in seats  today we are going to discuss the berlin wall  this was a wall in germany that actually separated the communist east side and the democratic west side
4,12,Butters,oowuh how are we gonna do that does it hurt  i dont wanna do it if it hurts or if it makes you get all sticky
4,9,Kyle,it was
1,9,Kenny,kyles crazy
14,4,Stan,my profile goddamnit my facebook profile has taken on a life of its own where is it
3,4,Kyle,fine
10,12,Butters,who me
12,7,Kenny,no im partners with craig
4,7,Mr. Garrison,ooohhh why not
2,14,Chef,hey that has no monetary value what the hell are you taking that for
11,12,Butters,oh dad i had the craziest dream i i saved all of imaginationland from running wild after a terrorist attack
12,12,Randy,yyeeaahh yeah obama chaaange its its chaaange
12,7,Kenny,no they dont wanna see a child die you guys uf
1,3,Kyle,what
4,2,Kyle,i only got a jar of gefilte fish
1,2,Cartman,but i won the environmental essay contest
14,2,Kenny,dude what the fuck is so filthy or offensive in here
10,1,Chef,kenny how would you like to sodomize my black ass
18,2,Mr. Mackey,thats probably gluten mkay
8,9,Randy,you see boys if we like our smalltown charm more than the big corporate bullies we all have to be willing to pay a little bit more do you understand
6,16,Randy,i think hes pretty scared alright
17,10,Mr. Mackey,uh no wendy apparently you called butters girlfriend a hobbit
5,12,Stan,yeah dude your family is so rich they have their own pool table
5,14,Butters,i sure did  dad sure had a nice night out
3,17,Mr. Garrison,well mom said i could sleep in the guest room tonight good night dad
9,11,Kenny,whats a great idea
4,9,Stan,come on nobodys gonna notice
9,7,Mr. Mackey,mkay uhh jimmy why dont you come up here and write down the names of two narcotics
6,1,Butters,ow dad
2,12,Randy,uh i think i found it
7,9,Butters,uhm oh
3,9,Kenny,what the fuck is that
11,5,Kyle,jesus
2,2,Chef,i actually was with meredith baxterbirney in this very car and afterwards we used that towel to  wait a minute why am i telling you this
9,6,Cartman,we both kind of needed each other and well im gonna miss you
17,1,Butters,its time to let go eric dont you see theres no other way just let the government into your heart
5,11,Mr. Garrison,right
8,9,Stan,dad youre a geologist
14,2,Mr. Garrison,okay kids lets take our seats  there has been a change in school policy and so im assigning you all a book to read
11,5,Sharon,well hes just getting older randy maybe hes figured out the easter bunny isnt real
4,4,Chef,come on drink it down its free
16,11,Butters,no this is our home and im sick of everyone who thinks theyre better than me just cause theyve got good looks and just cause even after massacring daredevil they happen to come back and hit a home run that everyone likes you shouldnt be able to be goodlooking and be with jennifer lopez and be a good director  all right all right fine argo is a good movie there i admitted it i told people that it didnt hold up but it holds up god darn it ben affleck has everything gragh
8,1,Chef,hows it goin
15,11,Randy,no theyre theyre bros sharon stephen sondheim elton john andrew lloyd webber theyre total bros who hang out at hooters sharon im so sorry
3,8,Randy,im just having a hard time with what we did in the hot tub
16,12,Kenny,yeah stan
2,15,Chef,or haaauuunted hash browns
14,9,Randy,we could ask al qaeda
1,8,Mr. Garrison,all right boys show us what youve brought
17,2,Kenny,i knew youre up to something
5,1,Chef,i dont know children i guess weve got to get the word out to people some other way
14,2,Cartman,they fucking tricked us thats what they did tricked us into reading a book by enticing us with promises of vulgarity
7,15,Kyle,youre not gonna die kenny dont be stupid
6,4,Sharon,ms cartman this is a battle of wills we need our boys to know that were not gonna cave in at all
3,3,Stan,normally we go to chef with our problems but wuh we cant this time
17,2,Sharon,oh i love you randy
12,12,Randy,yes i can yes i can
3,8,Randy,well of course i thought it would be implied when you masturbate with another guy in a hot tub you assume that nobody is gonna tell anybody
5,6,Cartman,im not keeping it mr garrison im spending it
3,13,Mr. Garrison,alright children lets just try to pretend there isnt a little boy in a huge plastic hamster ball here and go on with our studies now who can tell me when columbus sailed the seas and discovered america  ehyes mark
6,11,Randy,if anybody takes you well be able to locate your exact location within two meters
6,2,Randy,yeah but the good news is we finally came to our senses and bought some shares in a condo so we all get to come to aspen for two weeks every year
2,8,Mr. Garrison,you go to hell you go to hell and you die im gonna find out who you are
8,10,Kenny,how about we put a real fire out
5,7,Sharon,what the hell was that
8,1,Stan,yeah huh i got you
7,5,Kenny,woohoo
10,9,Mr. Mackey,now you might all think ive given up finding out who crapped in the urinal mkay and maybe maybe you think its a victimless crime this is mr venezuela  the school janitor okay  hes the person who has to clean up when some trickster drops a dook in the wrong toilet mr venezuela makes six bucks an hour at best okay hes got three kids at home hes got a car that barely works hes gotta clean up puke with sawdust mkay then he walks into the boys room and sees a big meaty chud starin him in the face  so when you crapped in that urinal mkay you might as well have just dropped your pants and laid a turd right on top of mr venezuelas head  oh you think its funny huh
2,17,Stan,yeahyeahyeah look weve gotta know about corporate takeovers tomorrow or were screwed
6,7,Chef,oh welll hello there children
1,1,Kyle,come on ike i promise ill be nice to you from now on
9,6,Kenny,that guy would try anything
2,15,Sharon,oh stanley no not aunt flo
6,14,Butters,lemmiwinks no
7,12,Stan,no it proves he did make it all up are you blind
14,10,Sharon,why
1,1,Cartman,heh heh thats a thats thats a little joke heh heh
4,4,Mr. Garrison,this is driving me crazy i cant handle you little bastards being so mellow
1,8,Mr. Garrison,the sports watch from the commercial
15,14,Kenny,aaaahh
15,12,Cartman,polly prissypants rumpertumskin  jesus christ
5,7,Mr. Mackey,well no
3,3,Stan,but we dont like her
6,16,Butters,well they both got the same teacher for homeroom too but you didnt say anything then
9,12,Randy,hello  hey come out of there
7,1,Chef,god damned aliens
18,7,Butters,i dont know what you mean
9,14,Stan,no my dad doesnt drink
10,9,Mr. Mackey,excuse me could we get back to the issue please you all dont seem to understand how serious this is now who made dookie in the urinal  oh you think its funny huh mkay mkay youre gonna think its real funny when the police get here
3,1,Cartman,goddamned stupid hippie activist i should be home nestled in the couch with my mr kitty right now watching fat abbot cartoons and eat  yes i knew it im saved
10,8,Cartman,lets go get him
7,6,Stan,ms peterson is your daughter home
4,12,Mr. Garrison,ey guess what everybody im gay
2,7,Kyle,there  i think we got it
17,2,Randy,no i know but its like were just good friends a marriage has to be more than that a marriage has to include fulfillment of fantasy and desire sometimes magma cube what the hell is a magma cube
18,2,Sharon,dont forget the freezer
4,8,Mr. Garrison,no no  but mr hat is
7,5,Cartman,jeh
4,3,Randy,oh shi
4,6,Kenny,aaaarrrrhhh
3,9,Kenny,what
5,7,Sharon,cannery row in monterey in california  is a poem a stink a grating noise  its amazing how with three images  he puts you right there and
2,7,Stan,hey its happening again  its a ice cream truck now do you believe this cartman
6,10,Mr. Mackey,mkay wendy why dont we hear your paper
6,14,Butters,lemmiwinks no
3,17,Mr. Garrison,well mom dad i guess id better be going the concert is gonna start soon
7,11,Butters,oh god oh jesus
5,8,Kenny,aw goddamnit
12,6,Sharon,all right each of you take a ticket when they call your name you can use the internet
6,1,Chef,well i guess were gonna have to do this the oldfashioned way come on back children
2,10,Randy,stan our son
3,10,Kyle,so now i should stop liking chinpokoman because you all dont
10,12,Cartman,im waiting for the new nintendo wii to come out
7,8,Chef,no it isnt last year you children were all trying to be black and now youre trying to be gay
16,1,Stan,throw it here throw it here  yeah nice one clyde
2,12,Cartman,what the hell is goin on in this cartoon  oh hey kenny did you find any chicks to come to the clubhouse
11,9,Stan,hi my name is stan marsh my dads trying to beat your record for biggest crap
13,3,Sharon,all right everyone eat up
15,10,Mr. Mackey,uh hi jan its counselor mackey uh how long would it take to organize a pizza friday for the students yeah yeah no they uh they actually did really well on the state exam yeah mkay
2,15,Kyle,hey yeah i almost forgot
5,4,Cartman,well we would tour but we just hate that scott tenorman kid so much that we dont want to  yeah scott tenorman is totally not cool hes not cool
9,7,Butters,hehey jimmy  mboy did you see that first prize for the talent show why you must be excited youll probably win like always
6,12,Randy,if saddam is building weapons we have to stop him with our weapons
7,6,Kenny,woohoo
15,2,Stan,whats the matter jimmy you still seem bummed
4,8,Kenny,ah fuck you
2,16,Stan,all families suck ass
12,3,Mr. Mackey,schoolchildren are often experimenting with dangerous ways to get high hmkay like sniffin glue guzzlin cough medicine huffin paint hmkay but theyre all bad mkay
1,13,Mr. Garrison,so you see eric anyone here could be your father im afraid youre never going to know
10,9,Kyle,dude
9,12,Stan,well i cant spend any money
1,1,Kyle,come on ike i promise ill be nice to you from now on
4,15,Cartman,mom tell them tell them im not fat im just bigboned tell them all those stories about how everyone in your family was big as a child but then grew into their bodies
9,7,Mr. Mackey,well why the hell not
10,1,Chef,children
4,3,Kenny,ha ha ha ha ha ha ha
8,9,Randy,i came because i wanted to make sure nobody was shopping here
8,9,Randy,the screwdriver set is only nine ninetyeight
5,10,Butters,thanks dad ah im sorry i was bad
12,6,Sharon,no mister its time for nightnight
15,14,Cartman,"yes yeheah did you hear that kenny were good i seriously thought we didnt stand a chance but now everythings gonna be okay
cause im not im not the poor kid at school  
lets hear it for jacob hallery guys 
his mom is so poor she cuts coupons out to be institutionalized
greeley colorados the place to be
its a whole new beginning for you and me
life can only get better cause i know one simple ruuule
im not hes not the poor kid at school"
7,8,Mr. Garrison,well you know
5,14,Butters,naw im lyin
3,5,Cartman,jakov
2,14,Cartman,whats a chewbacca defense
4,6,Kenny,woohoo
16,2,Randy,well dad it was really great seeing you wed love to stay for dinner but the food here gives sharon diarrhea
2,10,Kyle,what the hell does that have to do with american history
8,9,Kyle,yeah weve come to complain we dont want a wallmart in our town
15,6,Butters,pardon me
2,2,Mr. Garrison,yeah god only knows who theyll kill next
4,3,Sharon,randy randy youd better have look at this
9,2,Randy,sstan staaan
10,3,Kyle,i got some sound advice from an old friend
11,9,Sharon,what is it randy do you have any  oh  randy
3,3,Chef,yeah she told me all about the powers of goddess and how men have been oppressing women for years  and viewing them as sexual objects and i realized that i had done that myself
12,11,Kenny,yeah
6,15,Chef,children why didnt you tell me about this sooner
11,13,Randy,ahhh ahhhhhhh
12,12,Randy,sorry pal but obamas president now  obama obama
10,10,Stan,dude whats the matter
18,5,Kenny,uh huh
8,5,Butters,hey yeah well i can tell you anything huh  well lessee well for one i have whats called a hesiated colon which means i sometime cant control my sphincter
2,7,Mr. Garrison,come on you little bitch
7,12,Randy,well thanks uh
3,17,Mr. Garrison,some yes there was my uncle richard he he molested me
1,8,Cartman,but im not a starving etheropian i have to get back home too
8,10,Kyle,no the nipples are more in the middle see
16,11,Kenny,"to wit i have found nothing wrong with this remote place and i must admit it will be with some melancholy that i will leave this island and return home
i saw this chick in a bikini on the beach too she had the nicest boobs ever
humbly yours kenneth"
12,8,Butters,a gun
1,4,Chef,okay that was a good practice children well see you here again tomorrow
16,11,Cartman,he said he had to go back to his homeland and then told me it was none of my business and to keep my fat mouth shut
11,7,Randy,stay awa i dont have any change  i dont have any chaaaahahange
3,4,Kyle,fine
5,10,Butters,thanks dad ah im sorry i was bad
1,7,Chef,mayor weve got a big problem
2,5,Chef,thats right now come on we have a lot of practicing to do
3,17,Mr. Garrison,okay children weve still got some time to practice the song before we load up the bus and head out for oklahoma
14,3,Randy,i know theyre pretty swollen kinda hurts im gonna buy some more weed
7,3,Butters,haey fellas
17,3,Mr. Mackey,okay token what are your feelings about that
11,8,Cartman,you totally saved my ass kyle you must really care about me see you kyle i gotta get to a psychiatrist and learn to control what i say  i got a golden ticket thanks to kyle i got a golden twinkle in my eye
1,5,Kyle,hey look  its working
4,4,Mr. Garrison,—you need to work on your study skills
16,13,Mr. Mackey,yeah you know i cant believe in jesus anymore cause hes a damned fraud so what im gonna believe in is just bein me and bein independent like you so what i did is i got this brown bracelet to remind me of standing my ground uhkay and just believin in the cause of bein me
3,3,Chef,hello there children
3,10,Stan,no  screw this dude
10,2,Mr. Mackey,its like you had a guardian angel mkay
3,10,Randy,hey stan look at my new bumper sticker  isnt that cool
2,10,Sharon,will my daughter be okay
15,7,Sharon,who the hell is that woman randy what the hell do you think youre doing
16,12,Randy,last week i saw it was up for sale on a fluke i asked how much 10000 can you believe it we have the entire business and we can watch movies whenever we want come on you guys wanna see it
2,7,Mr. Mackey,well we just need to make some posters nkay hand out brochures onkay that way the public can know what the chldren look like and can call in if thryre spotted mkay
14,4,Stan,aw goddamnit i got sucked into facebook
11,9,Sharon,all right will you flush the toilet now
8,9,Randy,its simple economics son i dont understand it at all but god i love it
6,14,Mr. Garrison,i will  not put up with  tom foolery in my  class room children  mr slave put this rubber ball in your mouth  take that slavey take it  thisll get me fired for sure
16,11,Butters,whoa its like gasoline
12,10,Stan,one of our friends was raped in peru it was very traumatic
16,4,Cartman,well check everywhere im not paying you guys each twenty bucks to scratch your buttholes
12,2,Randy,an incredible harvest some of the best corn ive seen in years
2,12,Kenny,huh
8,4,Randy,what
14,5,Cartman,i tried getting one last week
1,10,Chef,oh god in heaven what have i done
1,3,Chef,come on everybody you got to help the children
1,4,Stan,hes part doberman and part wolf hes the toughest dog on the mountain
11,5,Randy,we need to talk stan  ih its okay guys
4,4,Mr. Garrison,thats just swell timmy looks like youve outsmarted the principal and the counselor
12,3,Kenny,yeahhh
4,3,Sharon,well i think we have to dont we
15,11,Sharon,oh randy  the bottom line is i love going to those shows if the fallout from that is i make you really happy for a while well i guess theyre actually a pretty magical thing
9,14,Randy,how about twenty
3,3,Mr. Garrison,well children i am your teacher i think youll find that my advice is just as valuable as chefs if not more so
2,2,Chef,is he dead
11,13,Sharon,if they spent half the time learning a real instrument as they do playing that game who knows what they could accomplish
16,12,Randy,and some gifts for the kids too after all were rich now
4,4,Chef,well what do you think i can have dr shay come to south park for a small fee
7,3,Stan,we heard that you have the person who tped the art teachers house is that true
1,7,Chef,i gotta call this hotline number children
4,1,Kenny,huh uh  aaaaaa  ufff  ugh
13,10,Stan,what
4,14,Sharon,hi sheila
6,4,Stan,well stay in this room with these baby cows for as long as it takes
7,4,Kenny,a what
11,7,Kenny,dude shut the fuck up about my house
1,7,Kyle,chef
7,3,Mr. Mackey,its too late boys mkay we already know everything
3,3,Chef,children ive got some great news for you veronica and i are getting married
10,7,Mr. Mackey,we have tried at this school to make eric understand that there are boundaries mkay but frankly we believe his behavioral problems start at home
13,8,Cartman,was i alarmed  yes  i believe i was
1,4,Mr. Garrison,what what the hell are you talking about i am not gay
2,16,Stan,dude i thought mr hankey lived in the sewer whats he doing in nebraska
2,16,Sharon,the answer is no stanley now go wash up for supper
15,6,Butters,um excuse me
5,14,Butters,uh hey dad
6,5,Stan,but we have to watch the commercials in this show
7,7,Kyle,what is native american comedy anyway
4,6,Kenny,aaaarrrrhhh
4,2,Kenny,why the fuck does it have to be my tooth
8,4,Randy,you got served by who
1,4,Chef,okay that was a good practice children well see you here again tomorrow
1,11,Mr. Garrison,oh i have to admit im still embarrassed about getting a nose job tom i didnt want people at school to know so i told them i had herpes
18,4,Sharon,oh no i cant watch
13,11,Stan,yeah hell yeah lets do it
9,8,Kyle,stan people in beaverton are still trapped on their roofs nobodys helping them because they think they cant go outside
2,17,Mr. Garrison,yeah well i dont want to sound like a dickhole but i told you so
5,1,Chef,im very proud of you children lets all go home and find a nice white woman to make love to
16,11,Butters,you folks are all native hawaiians too
12,7,Stan,sounds like police sirens
7,8,Chef,sure come on in
1,8,Mr. Garrison,children children im a little disappointed in your thanksgiving spirit only a few cans have been donated to our canned food drive  and cant we do a little better than  creamed corn  uh  creamed corn  and  creamed corn  please bring in more diverse food children or else kennys family is going to have a pretty corny thanksgiving  cornygravycorny thanksgiving hoo hahhaa anyway children i understand a few of you have brought in something special for showandtell
7,7,Randy,stan okay
3,8,Randy,what the hell is that supposed to mean
12,2,Randy,well you boys are gonna sit and watch this this is what really matters
6,9,Stan,relax tweek were just gonna have to go in there and explain what happened there are more important things right now than free hats
17,10,Mr. Mackey,uh take a seat wendy i guess some mean things were said and i need to get to the bottom of it
2,4,Mr. Mackey,what oh thanks man
2,15,Cartman,what do you mean what am i doing im just standing here jesus mellow out you guys
1,1,Kenny,oh nooo
8,10,Butters,look trent i know i know youre awful sore about pre muh prpreschool and all but well that was a long time ago i mean we were just kids  uhhh please dont hurt me trent iill give you anything you want you name it
3,7,Mr. Mackey,mhm mkay
2,5,Cartman,yeah and if you dont youre a big dumbass european hippie piece of crap
10,8,Butters,i got world of warcraft like you said
6,16,Cartman,the note will inform them that a problem has come up and they need to see me rightaway back at my office
3,17,Mr. Garrison,mother wont hear the truth
9,6,Butters,well jeez eric why wouldnt i be able to hear you
9,12,Randy,come on mr cruise this is ridiculous
6,10,Kyle,dude bebe is really smart
17,5,Mr. Mackey,no now you listen to me  intellilink is a great idea and we just need the goddamned gold package we are doublin down
1,13,Chef,oooohhohohoh hohohohoh thats different women dont get pregnant from tonguekissing children
15,11,Sharon,of course not go ahead hun
15,9,Butters,while people play in the sun all day
7,12,Randy,yyou can call me randy
15,3,Mr. Mackey,oho oh god go on home kids mkay its over
8,9,Kyle,goddamnit
2,12,Kenny,uh huh
14,8,Kenny,no nascar fans arent stupid cartman is
3,16,Chef,is that what i said
9,3,Kyle,hey is your show as good as america idol
6,10,Mr. Mackey,mkay bebe
6,3,Butters,i do uh oh i i mean yeahah i do uh yeah the kids at school make fun of me for that
1,10,Mr. Garrison,yeah crazy
15,10,Mr. Mackey,alright now get back to class adler get rid of those laxative bottles trash all the arbys horsey sauce packages too there cannot be one piece of evidence of what we did here  what the  oh shit  stop that rat
15,8,Stan,ahhhh  oh coool
16,10,Sharon,ooooo stuff from amazon
14,6,Cartman,my dad was a denver bronco
12,6,Randy,everyone wake up  were here silicon valley californee
6,14,Chef,children a lot of times the reason get uncomfortable around gay people is that they have some issues themselves you have to ask yourself what is it about their behavior that for some reason makes me uncomfortable
